2025-08-13 03:48:01 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:48:01] "[35m[1mPOST /api/start_processing HTTP/1.1[0m" 500 -
2025-08-13 03:48:02 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:48:02] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:48:12 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:48:12] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:48:23 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:48:23] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:48:32 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:48:32] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:48:43 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:48:43] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:48:53 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:48:53] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:49:03 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:49:03] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:49:54 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:49:54] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:49:55 | INFO     | root                 | Logging initialized - Level: INFO, File: logs\video_processor.log
2025-08-13 03:49:55 | ERROR    | __main__             | Error starting processing: name 'os' is not defined
2025-08-13 03:49:55 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:49:55] "[35m[1mPOST /api/start_processing HTTP/1.1[0m" 500 -
2025-08-13 03:50:03 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:50:03] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:50:13 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:50:13] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:50:22 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:50:22] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:50:33 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:50:33] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:50:42 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:50:42] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:50:53 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:50:53] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:51:10 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:51:10] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:52:11 | INFO     | werkzeug             | 127.0.0.1 - - [13/Aug/2025 03:52:11] "GET /api/queue HTTP/1.1" 200 -
2025-08-13 03:52:42 | INFO     | werkzeug             |  * Detected change in 'C:\\Users\\thaya\\AppData\\Local\\Programs\\Python\\Python310\\Lib\\site-packages\\coverage\\__init__.py', reloading
2025-08-13 03:52:42 | INFO     | werkzeug             |  * Detected change in 'C:\\Users\\thaya\\AppData\\Local\\Programs\\Python\\Python310\\Lib\\site-packages\\coverage\\data.py', reloading
2025-08-13 03:52:42 | INFO     | werkzeug             |  * Detected change in 'C:\\Users\\thaya\\AppData\\Local\\Programs\\Python\\Python310\\Lib\\site-packages\\pytest\\__init__.py', reloading
